MN,TN,TC,SI,M,AL1,AL2,AL3,AL4,ATP,ATB,TL1,TL2,TL3,TL4,AT,AB,AP,CP,CS,CD,Disabled?,Beached?,SR,DTS,D,DR,ORG,Comments,EID,C,T,PMD,G,DT
1,422,B1,JDS,1,0,0,0,4,0,0,4,3,3,3,0,2,0,0,0,1,0,0,1,2,0,-1,3,Had issues picking up coral from ground with infeed.,2025iri,15,99,1.3,86%,#REF!
1,2826,R1,AD,1,0,0,0,1,0,0,0,0,7,7,0,0,0,0,0,1,0,0,2,2,0,-1,3,,2025iri,14,85,1.5,66%,#REF!
1,5712,R2,Hh,1,0,0,1,0,0,1,0,2,4,2,2,2,0,0,0,1,0,0,1,2,0,-1,3,Seems tippy and climb seems to take a longer time than ideal questionable climb as it was barely off the ground,2025iri,10,65,1.3,40%,#REF!
1,4655,B2,MLM,1,0,0,0,2,0,0,1,0,1,1,0,6,0,1,0,0,0,0,1,1,0,-1,3,"Missed 3 barge algae, 2 coral cycles. Missed 1 L4 in auto. Attempted to climb, not enough time.",2025iri,9,64,1.1,39%,#REF!
1,3494,B3,KA,1,0,0,0,1,0,0,0,6,2,0,2,0,0,1,0,0,0,0,1,1,0,-1,2,,2025iri,8,36,1,9%,#REF!
1,3414,R3,RB,1,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,-1,1,,2025iri,4,53,0.5,23%,#REF!
2,7457,B1,JDS,1,0,0,0,3,0,0,3,4,6,2,0,3,0,0,0,1,0,0,1,2,0,-1,3,"Was a bit slow at times to get coral, but fast scoring.",2025iri,18,106,1.3,91%,#REF!
2,3663,R1,AD,1,0,0,0,1,0,0,3,3,5,3,1,4,0,0,0,1,0,0,1,1,0,-1,2,,2025iri,18,96,1,82%,#REF!
2,4028,B3,KA,1,0,0,0,1,0,2,1,4,4,4,3,4,0,0,0,1,0,0,2,2,0,-1,4,,2025iri,17,96,1.6,82%,#REF!
2,4499,R3,RB,1,0,0,0,1,0,1,2,3,3,2,2,3,0,0,0,1,0,0,2,1,0,-1,3,,2025iri,13,75,1.3,54%,#REF!
2,1741,R2,Hh,1,0,0,0,1,0,0,1,3,3,4,1,0,0,1,0,0,0,0,1,1,0,-1,3,Kinda slow in intaking and scoring stuff,2025iri,11,53,1.1,23%,#REF!
2,10021,B2,MLM,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1,2,Bumper fell off around 1.20 remaining. Missed 2 L4 in auto.,2025iri,2,14,0.8,2%,#REF!
3,33,B2,MLM,1,0,0,0,2,0,0,0,4,4,4,0,4,0,0,0,1,0,0,2,2,0,-1,4,Missed 1 L4 in auto. Looked really smooth.,2025iri,16,101,1.6,88%,#REF!
3,2481,B3,KA,1,1,0,1,1,0,0,0,2,3,3,1,4,0,0,0,1,0,0,1,2,0,-1,4,,2025iri,12,88,1.4,71%,#REF!
3,1987,R1,AD,1,0,0,0,1,0,2,1,1,5,1,4,3,0,0,0,1,0,0,1,1,0,-1,3,,2025iri,11,70,1.1,48%,#REF!
3,1833,R3,RB,1,0,0,0,3,0,0,2,1,0,3,0,0,0,0,0,0,0,0,2,0,0,-1,2,,2025iri,6,46,1,17%,#REF!
3,4926,R2,Hh,1,0,0,0,2,0,0,1,0,3,1,0,0,0,1,0,0,0,0,1,1,0,-1,2,L1 was accidentally really slow human player feed like it takes a decent amount of tries to give it coral,2025iri,5,36,1,9%,#REF!
3,1086,B1,JDS,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,9,2,Could not get coral to score in tele. Had issues trying to score algae in barge. Played awesome defense.,2025iri,0,17,0.966666667,3%,#REF!
4,9245,R3,RB,1,0,2,1,0,0,0,0,9,7,0,0,0,0,0,0,1,0,0,2,2,0,-1,3,,2025iri,16,84,1.5,65%,#REF!
4,1732,R2,Hh,1,0,0,0,3,0,0,3,0,0,2,5,6,2,0,0,1,0,0,1,2,0,-1,4,Pretty accurate algae bot and has ground and source infeed,2025iri,13,96,1.4,82%,#REF!
4,3357,R1,AD,1,0,0,0,1,0,0,2,0,4,6,0,0,0,1,0,0,0,0,1,0,0,-1,2,,2025iri,12,60,0.8,33%,#REF!
4,2137,B2,MLM,1,0,0,0,1,0,0,3,2,3,3,1,1,0,0,1,0,0,0,1,1,0,-1,3,"Spasmed during auto after missing L4. Driving overall also looked a little spazzy, could be either driver or code.",2025iri,12,61,1.1,34%,#REF!
4,1023,B3,KA,1,0,0,0,0,0,0,0,3,5,2,2,0,2,1,0,0,0,0,1,0,0,-1,2,"Their arm for placing coral was not very accurate, and their auton missed everything",2025iri,12,50,0.8,19%,#REF!
4,302,B1,JDS,1,0,0,0,1,0,2,0,2,3,2,0,4,0,1,0,0,0,0,1,1,0,-1,2,Can not acquire coral from source with a coral against the wall. Slow climb.,2025iri,11,62,1,36%,#REF!
5,5687,B1,JDS,1,0,0,0,2,0,0,0,6,6,3,1,3,0,0,0,1,0,1,1,2,0,-1,3,Beached for a few seconds when saving a beached team bot. Source acquired.,2025iri,18,104,1.1,90%,#REF!
5,67,R1,AD,1,0,0,0,4,0,0,3,5,4,3,2,2,0,0,0,1,0,0,2,2,0,-1,4,,2025iri,17,107,1.6,91%,#REF!
5,1768,R3,RB,1,0,0,0,3,0,0,1,5,2,2,2,1,1,0,0,1,0,0,2,2,0,-1,4,,2025iri,12,81,1.6,60%,#REF!
5,469,B2,MLM,1,0,0,0,1,0,0,0,3,3,1,1,1,2,1,0,0,0,0,1,1,0,-1,3,Auto stopped after center L4. Spent a little too long going after algae before switching to scoring coral. Driving was slow at first but improved. Piece acquisition is a lil sketchy overall.,2025iri,10,50,1.1,19%,#REF!
5,9015,B3,KA,1,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,3,1,"Really good auton, got beached than unbeached by teammate. Sadly they then got coral stuck in their bot so they tried to play defense, but got a foul. Hang did not work either.",2025iri,3,36,0.683333333,9%,#REF!
5,45,R2,Hh,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,-1,2,Maybe just a bad match but algae intake is super shaky and does not look reliable at all,2025iri,3,34,0.6,8%,#REF!
6,2056,B1,JDS,1,0,0,0,5,0,0,2,5,6,2,0,1,3,0,0,1,0,0,2,1,0,-1,4,Seems like they switched drive teams? Some of the scoring was slow.,2025iri,19,121,1.4,98%,#REF!
6,2832,R1,AD,1,0,0,0,3,0,0,2,4,4,2,3,5,0,0,0,1,0,0,2,1,0,-1,3,,2025iri,17,108,1.3,92%,#REF!
6,341,B3,KA,1,0,0,0,2,0,0,1,5,5,3,2,1,0,0,0,1,0,0,2,2,0,-1,3,They throw the algae which can make it be inconsistent and bounce out of the barge,2025iri,15,87,1.5,69%,#REF!
6,3940,R2,Hh,1,0,0,0,2,0,0,5,2,4,1,0,0,2,1,0,0,0,0,1,2,0,-1,3,Beautifully fast but careful with bot has deep climb but ran into algae and out of time,2025iri,14,62,1.3,36%,#REF!
6,2075,R3,RB,1,0,0,0,1,0,0,0,3,2,0,1,3,0,0,0,1,0,0,1,2,0,-1,3,,2025iri,8,57,1.3,28%,#REF!
6,112,B2,MLM,1,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,1,0,0,-1,2,Robot started oriented wrong way in auto. Overall not great. Drivers seem unfamiliar with robot.,2025iri,4,27,0.8,5%,#REF!
7,118,R1,AD,1,0,0,0,4,0,0,0,7,6,3,0,4,0,0,0,1,0,0,2,2,0,-1,4,,2025iri,20,127,1.6,98%,#REF!
7,4143,B2,MLM,1,0,0,0,2,0,0,0,4,4,4,3,3,0,0,0,1,0,0,1,1,0,-1,3,Missed an L3. Had to frequently realign/readjust to score coral on any level. Smooth ground pickup for coral.,2025iri,15,95,1.1,81%,#REF!
7,2491,R2,Hh,1,0,0,0,0,0,3,0,2,4,4,3,1,2,0,0,1,0,0,1,2,0,-1,3,Very fast but accurate did have to spit out coral some idk why but overall good,2025iri,13,71,1.3,50%,#REF!
7,8044,B1,JDS,1,0,0,0,2,0,0,0,2,2,0,0,6,2,0,0,1,0,0,1,2,0,-1,3,Did mostly algae. Ground infeed for coral and scores like us.,2025iri,12,87,1.3,69%,#REF!
7,1024,B3,KA,1,1,1,0,0,0,0,0,3,5,3,0,0,0,0,0,1,0,0,2,1,0,-1,3,Did well except they tended to miss when dropping off coral. Auton also missed once,2025iri,11,66,1.3,42%,#REF!
7,9032,R3,RB,1,0,1,0,1,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0,1,0,-1,2,,2025iri,6,44,0.8,14%,#REF!
8,3767,B2,MLM,1,0,0,0,2,0,0,7,6,4,0,0,0,0,0,0,1,0,0,1,2,0,-1,3,Floor to reef cycles were super quick as they filled the bottom of the reef. Placements in L1 look confident. Could've gotten another coral at end of auto.,2025iri,17,77,1.3,57%,#REF!
8,3538,R2,Hh,1,0,0,0,0,0,0,0,3,8,5,0,0,0,0,0,1,0,0,1,2,0,-1,3,Super fast auton attempted algae but failed not ideal algae bot from this match but pretty good at coral,2025iri,16,81,1.3,60%,#REF!
